id,shop_id,first_name,last_name,email,address,postal_code,city,created,updated,paid,braintree_id,username,phone_number
1,4,jackie,ng,jackie@123.hk,"","","",2024-10-04 19:53:28.55733+08,2024-10-04 19:53:28.557343+08,f,"","",123456
2,4,jackie,ng,jackie@123.hk,"","","",2024-10-04 20:16:13.040759+08,2024-10-04 20:16:13.040771+08,f,"","",123456
3,4,jackie,ng,jackie@123.hk,"","","",2024-10-04 20:16:19.903598+08,2024-10-04 20:16:19.903612+08,f,"","",123456
4,4,jackie,ng,jaki@yahoo.com,"","","",2024-10-04 20:17:46.182394+08,2024-10-04 20:17:46.182406+08,f,"","",123456
5,4,jackie,ng,jacki@1.com,"","","",2024-10-04 20:26:12.704006+08,2024-10-04 20:26:38.356822+08,t,0sszay50,"",12
6,4,jackie,ng,jackie@1.com,"","","",2024-10-04 21:25:45.021451+08,2024-10-04 21:25:45.021466+08,f,"","",1234
7,4,jackieng,ng,jac@1.com,"","","",2024-10-04 21:28:12.728302+08,2024-10-04 21:28:51.98384+08,t,jwmdp6zk,"",adafd
8,4,jackie,ng,jadf@1.com,"","","",2024-10-04 22:18:21.575354+08,2024-10-04 22:19:10.773648+08,t,jrc2cy1v,"",123
9,4,jackieng,ng,jackieng2000@yahoo.com,"","","",2024-10-05 09:04:33.387424+08,2024-10-05 09:05:51.452815+08,t,561z1n5s,"",123456
10,4,jackie,ng,jackieng2000@yahoo.com.hk,"","","",2024-10-05 10:06:46.244604+08,2024-10-05 10:07:23.420036+08,t,r9ka1eh1,"",123456
11,4,jackie,ng,jackieng2000@yahoo.com.hk,"","","",2024-10-05 11:40:14.521423+08,2024-10-05 11:40:14.521444+08,f,"","",123456
12,4,jackie,ng,jakcein@1.com,"","","",2024-10-05 11:42:15.441809+08,2024-10-05 11:42:15.441832+08,f,"","",123456
13,4,411,12,jac@1.com,"","","",2024-10-05 11:45:47.167714+08,2024-10-05 11:46:16.54794+08,t,pgjvrz4f,"",123
14,4,jackie,ng,jackie@1.com,"","","",2024-10-05 11:59:54.316649+08,2024-10-05 11:59:54.316661+08,f,"","",12
15,4,jackie,ng,jackie@1.com,"","","",2024-10-05 12:05:06.84145+08,2024-10-05 12:05:06.841464+08,f,"","",12345
16,4,jackie,ng,ja@1.com,"","","",2024-10-05 12:14:26.49152+08,2024-10-05 12:14:26.491533+08,f,"","",12345
17,4,Ng,jackie,jac@1.com,"","","",2024-10-05 12:15:50.287003+08,2024-10-05 12:16:08.164867+08,t,rnpnhs0v,"",123
18,4,jack,akldf,j@1.com,"","","",2024-10-05 12:25:18.903941+08,2024-10-05 12:26:17.733476+08,t,mq99w3em,"",123
19,4,123,12,1@1.com,"","","",2024-10-05 12:40:21.682692+08,2024-10-05 12:40:45.836266+08,t,3yz50nhk,"",123456
20,4,jackieng,jackie,jackieng2000@yahoo.com.hk,"","","",2024-10-07 09:28:24.113677+08,2024-10-07 09:29:41.325584+08,t,jm91a9w0,"",123456
21,4,jackie,ng,jackieng2000@yahoo.com.hk,"","","",2024-10-07 10:05:08.950883+08,2024-10-07 10:05:53.104741+08,t,e76kw37b,"",123456
22,4,jackie,jack,1@com.com,"","","",2024-10-07 11:47:31.019816+08,2024-10-07 11:48:00.639432+08,t,0g6c34wt,"",12345678
23,4,jakcien,ng,jackieng@t.com,"","","",2024-10-07 12:41:28.544819+08,2024-10-07 12:41:28.544851+08,f,"","",123456
24,4,jakcien,ng,jackieng@t.com,"","","",2024-10-07 12:43:05.281301+08,2024-10-07 12:43:05.28132+08,f,"","",123456
25,4,1234,12,a@1.com,"","","",2024-10-07 12:43:33.632589+08,2024-10-07 12:43:52.862911+08,t,chzhhshn,"",1234
26,4,jackieng,ng,jackieng@1.com,"","","",2024-10-07 13:47:51.216093+08,2024-10-07 13:48:19.304501+08,t,pvj3rcb9,"",123456
27,4,jackieng,jackie,jackie@1.com,"","","",2024-10-09 16:03:25.700559+08,2024-10-09 16:03:25.700571+08,f,"","",1234567
28,4,jackieng,jackie,jackie@1.com,"","","",2024-10-09 16:04:56.971481+08,2024-10-09 16:04:56.971492+08,f,"","",1234567
29,4,jackie,kl;asdfk,1@1.com,"","","",2024-10-09 16:09:22.97923+08,2024-10-09 16:09:22.979241+08,f,"","",123
30,4,jackie,kl;asdfk,1@1.com,"","","",2024-10-09 16:09:35.641458+08,2024-10-09 16:09:35.64147+08,f,"","",123
31,4,jackie,abc,1@a.com,"","","",2024-10-09 16:15:47.285665+08,2024-10-09 16:16:07.378631+08,t,4b0ejtp0,"",12
32,4,jackie,ng,jackie@1.com,"","","",2024-10-09 18:59:17.013557+08,2024-10-09 18:59:35.559708+08,t,pcwsd76d,"",123456
33,4,jack,ng,jackieng@1.com,"","","",2024-10-09 22:38:35.603338+08,2024-10-09 22:42:18.08481+08,t,cn7hza6p,"",1234
34,4,jackie,ng,j@1.com,"","","",2024-10-09 22:43:57.438062+08,2024-10-09 22:43:57.438074+08,f,"","",12345678
35,4,jackie,ng,a@1.com,"","","",2024-10-09 22:46:42.021212+08,2024-10-09 22:47:01.302232+08,t,qnaz3t66,"",123456
36,4,jackie,ng,1@1.com,"","","",2024-10-09 23:36:49.305155+08,2024-10-09 23:36:49.305166+08,f,"","",12345678
37,4,jackie,ng,1@1.com,"","","",2024-10-09 23:37:19.810649+08,2024-10-09 23:37:19.810659+08,f,"","",12345678
38,4,jackie,ng,1@1.com,"","","",2024-10-09 23:38:56.577275+08,2024-10-09 23:38:56.577285+08,f,"","",12345678
39,4,jackie,ng,1@1.com,"","","",2024-10-09 23:38:57.06677+08,2024-10-09 23:40:20.484005+08,t,23ppqtk9,"",12345678
40,4,jackie,ng,jackie@1.com,"","","",2024-10-09 23:44:45.927284+08,2024-10-09 23:45:05.007302+08,t,nn8v1sm3,"",123
41,4,jackie,ng,1@1.com,"","","",2024-10-10 10:07:42.766948+08,2024-10-10 10:09:34.346182+08,t,77t742dx,"",123
42,4,jackie,ng,jackieng2@yahh.com,"","","",2024-10-10 18:39:48.506545+08,2024-10-10 18:40:13.201505+08,t,81get21v,"",12345678
43,4,Jackie,ng,jackieng2000@yahoo.com.hk,"","","",2024-10-10 23:08:14.575385+08,2024-10-10 23:08:37.295309+08,t,hsacvbtx,"",12345678
44,4,jackie,ng,jackie@1.com,"","","",2024-10-10 23:12:32.52769+08,2024-10-10 23:12:32.527701+08,f,"","",123
45,4,jackieng,jac,1@1.com,"","","",2024-10-10 23:48:29.082855+08,2024-10-10 23:48:29.082867+08,f,"","",122
46,4,jackieng,jac,1@1.com,"","","",2024-10-10 23:52:05.874141+08,2024-10-10 23:52:26.418617+08,t,kj21cp8d,"",122
